analysis,representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used
tcell_subtypes_only,hvg,hvg,3,1,0.4886795939592678,0.5146332193082478,570,5262,8
tcell_subtypes_only,hvg,hvg,3,2,0.65268728080207,0.6652435474480884,679,5153,8
tcell_subtypes_only,hvg,hvg,3,3,0.4490832991556552,0.49980582524271844,682,5150,8
tcell_subtypes_only,hvg,hvg,3,4,0.6351177334874267,0.6831372549019608,732,5100,8
tcell_subtypes_only,hvg,hvg,3,5,0.6460895928989382,0.6651261313306374,639,5193,8
tcell_subtypes_only,hvg,hvg,5,1,0.6410690586682425,0.6915908105765063,1218,4614,8
tcell_subtypes_only,hvg,hvg,5,2,0.5801225334964396,0.6394885768182771,1061,4771,8
tcell_subtypes_only,hvg,hvg,5,3,0.6501046782319253,0.7066161728670083,1343,4489,8
tcell_subtypes_only,hvg,hvg,5,4,0.6627526468546301,0.7019616114743725,1091,4741,8
tcell_subtypes_only,hvg,hvg,5,5,0.6842625269143973,0.7109864018994172,1199,4633,8
tcell_subtypes_only,hvg,hvg,8,1,0.7111638957714985,0.7437045327364298,2258,3574,8
tcell_subtypes_only,hvg,hvg,8,2,0.6901834614398394,0.7173553719008264,1597,4235,8
tcell_subtypes_only,hvg,hvg,8,3,0.706634896622675,0.7344827586206897,2062,3770,8
tcell_subtypes_only,hvg,hvg,8,4,0.7014202578008508,0.7282430213464697,2178,3654,8
tcell_subtypes_only,hvg,hvg,8,5,0.7237842297480628,0.7486954133479813,2191,3641,8
tcell_subtypes_only,hvg,hvg,10,1,0.7342073376222045,0.7701704545454545,2312,3520,8
tcell_subtypes_only,hvg,hvg,10,2,0.7145717588968742,0.7546492659053834,2767,3065,8
tcell_subtypes_only,hvg,hvg,10,3,0.6940393450998764,0.7176925555913632,2729,3103,8
tcell_subtypes_only,hvg,hvg,10,4,0.7105191598507486,0.7405084186200066,2803,3029,8
tcell_subtypes_only,hvg,hvg,10,5,0.7291006503353896,0.753140703517588,2648,3184,8
tcell_subtypes_only,hvg,hvg,15,1,0.712304973666575,0.7343153300600109,3999,1833,8
tcell_subtypes_only,hvg,hvg,15,2,0.716180577566104,0.7578601595495073,3701,2131,8
tcell_subtypes_only,hvg,hvg,15,3,0.7244583906543244,0.7761495704901465,3853,1979,8
tcell_subtypes_only,hvg,hvg,15,4,0.7310075210239069,0.7546904315196998,3700,2132,8
tcell_subtypes_only,hvg,hvg,15,5,0.7614006268221775,0.7742257742257742,3830,2002,8
tcell_subtypes_only,hvg,hvg,20,1,0.7178723687936556,0.7292954264524104,5023,809,8
tcell_subtypes_only,hvg,hvg,20,2,0.7194439040640335,0.7850931677018633,5027,805,8
tcell_subtypes_only,hvg,hvg,20,3,0.6809319943146493,0.7254150702426565,5049,783,8
tcell_subtypes_only,hvg,hvg,20,4,0.712857753105861,0.750920245398773,5017,815,8
tcell_subtypes_only,hvg,hvg,20,5,0.7585902222097829,0.803448275862069,5252,580,8
tcell_subtypes_only,pca,X_pca,3,1,0.5492449776964565,0.5767768909160015,570,5262,8
tcell_subtypes_only,pca,X_pca,3,2,0.720997007871951,0.736270133902581,679,5153,8
tcell_subtypes_only,pca,X_pca,3,3,0.610475371246995,0.6774757281553399,682,5150,8
tcell_subtypes_only,pca,X_pca,3,4,0.6918024616161169,0.7290196078431372,732,5100,8
tcell_subtypes_only,pca,X_pca,3,5,0.7039225794964235,0.7317542846139033,639,5193,8
tcell_subtypes_only,pca,X_pca,5,1,0.7096736720229828,0.7498916341569137,1218,4614,8
tcell_subtypes_only,pca,X_pca,5,2,0.6955685940685444,0.7243764409976944,1061,4771,8
tcell_subtypes_only,pca,X_pca,5,3,0.6993704996955481,0.7308977500556917,1343,4489,8
tcell_subtypes_only,pca,X_pca,5,4,0.7225292994897483,0.7519510651761232,1091,4741,8
tcell_subtypes_only,pca,X_pca,5,5,0.7243118694849346,0.7500539607165984,1199,4633,8
tcell_subtypes_only,pca,X_pca,8,1,0.759582170680627,0.7789591494124231,2258,3574,8
tcell_subtypes_only,pca,X_pca,8,2,0.7320187086710558,0.7548996458087367,1597,4235,8
tcell_subtypes_only,pca,X_pca,8,3,0.7361343465215202,0.7687002652519894,2062,3770,8
tcell_subtypes_only,pca,X_pca,8,4,0.748005077824955,0.7671045429666119,2178,3654,8
tcell_subtypes_only,pca,X_pca,8,5,0.7497690126022267,0.7758857456742653,2191,3641,8
tcell_subtypes_only,pca,X_pca,10,1,0.7535024338400308,0.7897727272727273,2312,3520,8
tcell_subtypes_only,pca,X_pca,10,2,0.7051244956909688,0.7624796084828711,2767,3065,8
tcell_subtypes_only,pca,X_pca,10,3,0.717786256439749,0.7309055752497583,2729,3103,8
tcell_subtypes_only,pca,X_pca,10,4,0.7404446528333426,0.7708814790359855,2803,3029,8
tcell_subtypes_only,pca,X_pca,10,5,0.7512682427345564,0.7732412060301508,2648,3184,8
tcell_subtypes_only,pca,X_pca,15,1,0.7390188384653762,0.756683033278778,3999,1833,8
tcell_subtypes_only,pca,X_pca,15,2,0.7383625866736969,0.7822618488972314,3701,2131,8
tcell_subtypes_only,pca,X_pca,15,3,0.7584040650579148,0.8059626073774634,3853,1979,8
tcell_subtypes_only,pca,X_pca,15,4,0.7433605724283033,0.7795497185741088,3700,2132,8
tcell_subtypes_only,pca,X_pca,15,5,0.7508534622003176,0.7712287712287712,3830,2002,8
tcell_subtypes_only,pca,X_pca,20,1,0.7193549894524185,0.7367119901112484,5023,809,8
tcell_subtypes_only,pca,X_pca,20,2,0.7470974471047882,0.8099378881987578,5027,805,8
tcell_subtypes_only,pca,X_pca,20,3,0.67049278055057,0.7203065134099617,5049,783,8
tcell_subtypes_only,pca,X_pca,20,4,0.680439642258686,0.7288343558282209,5017,815,8
tcell_subtypes_only,pca,X_pca,20,5,0.7479278665907987,0.8206896551724138,5252,580,8
tcell_subtypes_only,harmony,X_harmony,3,1,0.520800338837022,0.5473204104903079,570,5262,8
tcell_subtypes_only,harmony,X_harmony,3,2,0.5941371325057534,0.6124587618862798,679,5153,8
tcell_subtypes_only,harmony,X_harmony,3,3,0.5787732068296587,0.6120388349514563,682,5150,8
tcell_subtypes_only,harmony,X_harmony,3,4,0.667806279368961,0.7070588235294117,732,5100,8
tcell_subtypes_only,harmony,X_harmony,3,5,0.6609888482367505,0.6872713267860582,639,5193,8
tcell_subtypes_only,harmony,X_harmony,5,1,0.6497008595986753,0.6970091027308193,1218,4614,8
tcell_subtypes_only,harmony,X_harmony,5,2,0.6379166150874115,0.6765877174596521,1061,4771,8
tcell_subtypes_only,harmony,X_harmony,5,3,0.6883860862735101,0.7273334818445087,1343,4489,8
tcell_subtypes_only,harmony,X_harmony,5,4,0.6713178628734994,0.6966884623497153,1091,4741,8
tcell_subtypes_only,harmony,X_harmony,5,5,0.6887611512155687,0.7202676451543276,1199,4633,8
tcell_subtypes_only,harmony,X_harmony,8,1,0.6823583563853076,0.7165640738668159,2258,3574,8
tcell_subtypes_only,harmony,X_harmony,8,2,0.6952391045009084,0.7180637544273908,1597,4235,8
tcell_subtypes_only,harmony,X_harmony,8,3,0.698152791806415,0.7310344827586207,2062,3770,8
tcell_subtypes_only,harmony,X_harmony,8,4,0.6922022814419904,0.7219485495347564,2178,3654,8
tcell_subtypes_only,harmony,X_harmony,8,5,0.710788422984828,0.7388080197747872,2191,3641,8
tcell_subtypes_only,harmony,X_harmony,10,1,0.7190960033289759,0.7528409090909091,2312,3520,8
tcell_subtypes_only,harmony,X_harmony,10,2,0.6852459435859466,0.73115823817292,2767,3065,8
tcell_subtypes_only,harmony,X_harmony,10,3,0.6880474046693448,0.7186593619078311,2729,3103,8
tcell_subtypes_only,harmony,X_harmony,10,4,0.7014352299372524,0.7358864311654011,2803,3029,8
tcell_subtypes_only,harmony,X_harmony,10,5,0.702427505095514,0.7352386934673367,2648,3184,8
tcell_subtypes_only,harmony,X_harmony,15,1,0.6747587811210538,0.7048554282596836,3999,1833,8
tcell_subtypes_only,harmony,X_harmony,15,2,0.7114442478713738,0.7545753167526983,3701,2131,8
tcell_subtypes_only,harmony,X_harmony,15,3,0.7211328494662055,0.7680646791308742,3853,1979,8
tcell_subtypes_only,harmony,X_harmony,15,4,0.7110513665164238,0.7457786116322702,3700,2132,8
tcell_subtypes_only,harmony,X_harmony,15,5,0.7222247550532042,0.7477522477522478,3830,2002,8
tcell_subtypes_only,harmony,X_harmony,20,1,0.695098113405132,0.723114956736712,5023,809,8
tcell_subtypes_only,harmony,X_harmony,20,2,0.6714105783872563,0.746583850931677,5027,805,8
tcell_subtypes_only,harmony,X_harmony,20,3,0.654911343434509,0.6947637292464879,5049,783,8
tcell_subtypes_only,harmony,X_harmony,20,4,0.6711874866330788,0.7067484662576687,5017,815,8
tcell_subtypes_only,harmony,X_harmony,20,5,0.6906735958250816,0.7672413793103449,5252,580,8
tcell_subtypes_only,scvi,X_scVI,3,1,0.5374869081289728,0.5617635879893577,570,5262,8
tcell_subtypes_only,scvi,X_scVI,3,2,0.6293672268965651,0.6407917717834272,679,5153,8
tcell_subtypes_only,scvi,X_scVI,3,3,0.5129123646030582,0.5429126213592232,682,5150,8
tcell_subtypes_only,scvi,X_scVI,3,4,0.652195886071699,0.7019607843137254,732,5100,8
tcell_subtypes_only,scvi,X_scVI,3,5,0.6710960228023577,0.6965145388022338,639,5193,8
tcell_subtypes_only,scvi,X_scVI,5,1,0.6629471878901879,0.7030775899436498,1218,4614,8
tcell_subtypes_only,scvi,X_scVI,5,2,0.5930703980337749,0.6178998113603018,1061,4771,8
tcell_subtypes_only,scvi,X_scVI,5,3,0.6531277013040091,0.7034974381822232,1343,4489,8
tcell_subtypes_only,scvi,X_scVI,5,4,0.6634053805898403,0.7028053153343177,1091,4741,8
tcell_subtypes_only,scvi,X_scVI,5,5,0.7021480112042746,0.7342974314698899,1199,4633,8
tcell_subtypes_only,scvi,X_scVI,8,1,0.6755632681227407,0.7104085058757694,2258,3574,8
tcell_subtypes_only,scvi,X_scVI,8,2,0.6680637506912586,0.6904368358913814,1597,4235,8
tcell_subtypes_only,scvi,X_scVI,8,3,0.6921576131081822,0.7379310344827587,2062,3770,8
tcell_subtypes_only,scvi,X_scVI,8,4,0.697405443590465,0.7167487684729064,2178,3654,8
tcell_subtypes_only,scvi,X_scVI,8,5,0.71276018230835,0.746772864597638,2191,3641,8
tcell_subtypes_only,scvi,X_scVI,10,1,0.6811651267484111,0.7238636363636364,2312,3520,8
tcell_subtypes_only,scvi,X_scVI,10,2,0.6571924740271469,0.7066884176182708,2767,3065,8
tcell_subtypes_only,scvi,X_scVI,10,3,0.6798363955834383,0.7038349983886562,2729,3103,8
tcell_subtypes_only,scvi,X_scVI,10,4,0.6928400198206724,0.7243314625288875,2803,3029,8
tcell_subtypes_only,scvi,X_scVI,10,5,0.6801396261684913,0.7132537688442211,2648,3184,8
tcell_subtypes_only,scvi,X_scVI,15,1,0.6632467214186468,0.6912165848336062,3999,1833,8
tcell_subtypes_only,scvi,X_scVI,15,2,0.6766565793317417,0.7193805725011732,3701,2131,8
tcell_subtypes_only,scvi,X_scVI,15,3,0.7087614943532262,0.7549267306720566,3853,1979,8
tcell_subtypes_only,scvi,X_scVI,15,4,0.6964113488844598,0.7326454033771107,3700,2132,8
tcell_subtypes_only,scvi,X_scVI,15,5,0.7412362505677544,0.7652347652347652,3830,2002,8
tcell_subtypes_only,scvi,X_scVI,20,1,0.6937108838152172,0.7367119901112484,5023,809,8
tcell_subtypes_only,scvi,X_scVI,20,2,0.62155033148477,0.6819875776397516,5027,805,8
tcell_subtypes_only,scvi,X_scVI,20,3,0.628557866942241,0.6819923371647509,5049,783,8
tcell_subtypes_only,scvi,X_scVI,20,4,0.6516563335777354,0.7079754601226994,5017,815,8
tcell_subtypes_only,scvi,X_scVI,20,5,0.7113832869070552,0.7862068965517242,5252,580,8
