,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,585,3,0,2,0,0,0,0,0,0,0,2,1,0,0,7,0,0
AT2,38,702,0,5,1,0,0,0,0,0,0,0,1,1,3,41,4,1
B cell lineage,0,2,578,0,28,0,0,0,1,0,0,2,0,6,0,0,0,20
Basal,0,1,3,994,1,0,0,1,0,3,0,1,0,0,0,104,0,5
Dendritic cells,0,0,80,0,839,0,0,0,0,0,0,43,0,28,0,2,0,4
EC arterial,0,0,0,1,0,379,133,123,0,0,0,0,0,0,0,0,1,0
EC capillary,0,0,2,0,0,73,525,28,0,0,1,0,0,0,0,0,0,1
EC venous,0,0,1,2,0,115,27,792,0,0,2,0,0,2,0,0,1,0
Fibroblasts,0,0,2,0,0,1,1,0,792,0,1,0,0,0,3,1,5,2
Innate lymphoid cell NK,0,0,0,1,0,0,0,0,0,694,0,0,0,0,0,0,0,97
Lymphatic EC mature,0,4,0,0,0,0,0,0,0,0,365,0,0,0,0,0,1,0
Macrophages,0,8,1,3,104,0,0,1,0,1,0,882,1,213,0,10,2,8
Mast cells,0,0,0,1,0,0,0,0,0,2,0,0,462,0,0,0,1,0
Monocytes,0,1,1,0,57,0,0,1,0,0,0,79,0,1057,1,3,3,3
Multiciliated lineage,0,1,1,11,0,0,0,1,0,2,0,0,0,1,1629,34,2,0
Secretory,12,37,0,58,0,0,0,0,0,1,0,3,0,1,8,1367,52,1
Submucosal Secretory,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,85,309,2
T cell lineage,0,2,9,6,1,1,0,0,0,51,0,0,0,3,2,3,0,1134
