representation,rep_key,k_train_donors,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,mean_train_cells,mean_test_cells,mean_n_classes_used
harmony,X_harmony,3,0.6729255023995895,0.047025035313926974,0.7156381067774522,0.04430658071589439,1297.2,8809.8,13.0
harmony,X_harmony,5,0.7179840465962402,0.018466581303325968,0.7610024879728523,0.020622248484535772,2161.0,7946.0,13.0
harmony,X_harmony,8,0.737385131801773,0.011168107280825325,0.7759352165255317,0.021606950005106738,3509.6,6597.4,13.0
harmony,X_harmony,10,0.7427266636697959,0.009692703055921736,0.7920231212507856,0.009450886951454098,4401.6,5705.4,13.0
harmony,X_harmony,15,0.7594368299978079,0.019819442022243793,0.8010416128393054,0.017507289987454055,6581.6,3525.4,13.0
harmony,X_harmony,20,0.7259786786305561,0.013254353510128986,0.7703686443703301,0.04156366331288856,8777.8,1329.2,13.0
hvg,hvg,3,0.6841894597493056,0.053370090547205117,0.723874075357212,0.047050755736660434,1297.2,8809.8,13.0
hvg,hvg,5,0.7289826360855469,0.014924533674404494,0.7691411896374376,0.01651582754122234,2161.0,7946.0,13.0
hvg,hvg,8,0.7623496700414332,0.006454612831946433,0.7948409060806256,0.016850143687843044,3509.6,6597.4,13.0
hvg,hvg,10,0.7644835541993457,0.009867085800977962,0.8077847147738426,0.013324158590871311,4401.6,5705.4,13.0
hvg,hvg,15,0.770781604501577,0.0057728510032050056,0.8050565456484264,0.015420823196873835,6581.6,3525.4,13.0
hvg,hvg,20,0.7532526289780546,0.028373423491627504,0.7931972290059418,0.04934148183189124,8777.8,1329.2,13.0
pca,X_pca,3,0.7266711182333584,0.03772688309370874,0.7663869078449046,0.038287605446605075,1297.2,8809.8,13.0
pca,X_pca,5,0.7562396586505785,0.01135364033413401,0.7975130348345336,0.010468069797096538,2161.0,7946.0,13.0
pca,X_pca,8,0.7807333308220417,0.007458042910310507,0.8150264392960033,0.01735430659312937,3509.6,6597.4,13.0
pca,X_pca,10,0.7755047091758347,0.013315340424549777,0.820473503165233,0.01463794858684635,4401.6,5705.4,13.0
pca,X_pca,15,0.7934376887797483,0.00856683117163008,0.8312349967134306,0.01642892341214665,6581.6,3525.4,13.0
pca,X_pca,20,0.7610002881668925,0.023116916602982245,0.8040479236132555,0.04882503576183978,8777.8,1329.2,13.0
scvi,X_scVI,3,0.6684710537229894,0.06264913919369804,0.7082857503988592,0.05727820592327347,1297.2,8809.8,13.0
scvi,X_scVI,5,0.7134724202334763,0.034010244627488175,0.7553241403217018,0.03989559332672136,2161.0,7946.0,13.0
scvi,X_scVI,8,0.7395555006637519,0.017361858548794733,0.7765704067205392,0.03046874244647584,3509.6,6597.4,13.0
scvi,X_scVI,10,0.7358638850087463,0.0057754617218216805,0.785927165159191,0.009143182466054035,4401.6,5705.4,13.0
scvi,X_scVI,15,0.7536380134109976,0.01933267910181611,0.7934071206854736,0.02005135791043048,6581.6,3525.4,13.0
scvi,X_scVI,20,0.7285250657509218,0.023174681617611846,0.7756873551260366,0.04559034336231149,8777.8,1329.2,13.0
