scheme,representation,macro_f1,accuracy,n_cells_used,n_classes_used,batch_covariate,n_batch_features,repeat_seed
random_split,hvg,0.7904764104261955,0.8184965380811078,10107,13,Site,2,42
random_split,pca,0.7940683521163774,0.8249258160237388,10107,13,Site,2,42
random_split,harmony,0.7658665266861436,0.8016815034619189,10107,13,Site,2,42
random_split,scvi,0.7651861262555035,0.7992087042532147,10107,13,Site,2,42
random_split,hvg,0.7952789900380662,0.8269040553907022,10107,13,Site,2,43
random_split,pca,0.8002687544465373,0.8293768545994066,10107,13,Site,2,43
random_split,harmony,0.7687733900708019,0.8036597428288823,10107,13,Site,2,43
random_split,scvi,0.782975394346439,0.8140454995054401,10107,13,Site,2,43
random_split,hvg,0.7878860699556558,0.8165182987141444,10107,13,Site,2,44
random_split,pca,0.8072888630166996,0.8372898120672602,10107,13,Site,2,44
random_split,harmony,0.7701307673266217,0.8100890207715133,10107,13,Site,2,44
random_split,scvi,0.7732747818195314,0.8086053412462908,10107,13,Site,2,44
random_split,hvg,0.8032755441313296,0.8269040553907022,10107,13,Site,2,45
random_split,pca,0.8149690260573327,0.8447082096933729,10107,13,Site,2,45
random_split,harmony,0.7886022603418711,0.8239366963402571,10107,13,Site,2,45
random_split,scvi,0.7880150125975891,0.8194856577645895,10107,13,Site,2,45
random_split,hvg,0.7898286032820689,0.8175074183976261,10107,13,Site,2,46
random_split,pca,0.7927302066168569,0.8234421364985163,10107,13,Site,2,46
random_split,harmony,0.7615195631091146,0.798219584569733,10107,13,Site,2,46
random_split,scvi,0.7699021655323601,0.8051434223541049,10107,13,Site,2,46
