representation,k_train_donors,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,mean_train_cells,mean_test_cells,mean_n_classes_used
harmony,3,0.4851578345310027,0.03486926443550101,0.6796783410454297,0.04226476514605917,1466.6,9707.2,29.4
harmony,5,0.4698591580469514,0.01934416025666031,0.7225538600393201,0.015561835389665117,2427.4,8777.6,33.2
harmony,8,0.46418216837277654,0.013109272054926539,0.7361440910949584,0.015006861029146069,3930.2,7338.0,36.4
harmony,10,0.4615911507662311,0.013483700189797727,0.7527933357597053,0.011256978295806503,4926.0,6347.0,37.4
harmony,15,0.48100048382249694,0.019062185958753662,0.7568943601541387,0.01622113481003422,7366.6,3919.6,39.2
harmony,20,0.486289431133498,0.046632216879871,0.7347303561598743,0.042272485821693045,9808.6,1480.4,40.0
hvg,3,0.5139285120130817,0.060348279462411746,0.6669764971356769,0.06155185698309856,1466.6,9707.2,29.4
hvg,5,0.5274622228814148,0.024505868961459898,0.7218369692315072,0.021116207820418054,2427.4,8777.6,33.2
hvg,8,0.508344872397427,0.0062107474151903985,0.7456303967121745,0.01936620525083689,3930.2,7338.0,36.4
hvg,10,0.5095633842034676,0.01585238987655809,0.7634005112943862,0.015286420437112803,4926.0,6347.0,37.4
hvg,15,0.5226990699386815,0.032073702728228834,0.7621545388708807,0.0139937345742575,7366.6,3919.6,39.2
hvg,20,0.5562709645689199,0.061789176989738626,0.7557641507625048,0.053810315964916346,9808.6,1480.4,40.0
pca,3,0.5101994023328471,0.040759134133914444,0.7228960791864422,0.0412441639054021,1466.6,9707.2,29.4
pca,5,0.4880564112679176,0.01642149015436811,0.7508287739177814,0.010085931974805212,2427.4,8777.6,33.2
pca,8,0.4837895180185283,0.017070928979718902,0.7698655902460373,0.013094225974990473,3930.2,7338.0,36.4
pca,10,0.4905425333183234,0.01894445109354755,0.777840532044932,0.017868871867813826,4926.0,6347.0,37.4
pca,15,0.49429565018704374,0.020929922118558646,0.7819292957148374,0.018113779467095338,7366.6,3919.6,39.2
pca,20,0.5274277822173914,0.017816952803744065,0.7649349720797594,0.051973902787276274,9808.6,1480.4,40.0
scvi,3,0.5216770736973313,0.05006592186086728,0.6772086121891713,0.0509382454328244,1466.6,9707.2,29.4
scvi,5,0.5063655727720873,0.02675267475185132,0.7231159388264642,0.03224514617650481,2427.4,8777.6,33.2
scvi,8,0.507582964083087,0.0031248064204150647,0.7419813316180814,0.02639345359929359,3930.2,7338.0,36.4
scvi,10,0.49789258805273917,0.017333859704608177,0.751801344161508,0.011525491022670614,4926.0,6347.0,37.4
scvi,15,0.5032398005468488,0.023346610132724613,0.757168727167027,0.018692126190158077,7366.6,3919.6,39.2
scvi,20,0.5420528945485042,0.035252132772128686,0.7453636817786841,0.0438025411352735,9808.6,1480.4,40.0
