scheme,representation,macro_f1,accuracy,n_cells_used,n_classes_used,dataset,batch,batch_covariate,n_batch_features
random,pca,0.7898369048835647,0.8229475766567754,10107,13,filtered,no,,
random,hvg,0.789520401436745,0.8170128585558852,10107,13,filtered,no,,
random,scvi,0.7574880129776252,0.7917903066271019,10107,13,filtered,no,,
random,harmony,0.7555494768568827,0.7898120672601385,10107,13,filtered,no,,
random_batchcov,pca,0.7945157868569244,0.8254203758654797,10107,13,filtered,yes,Site,2.0
random_batchcov,hvg,0.7904764104261955,0.8184965380811078,10107,13,filtered,yes,Site,2.0
random_batchcov,harmony,0.7658665266861436,0.8016815034619189,10107,13,filtered,yes,Site,2.0
random_batchcov,scvi,0.7651861262555035,0.7992087042532147,10107,13,filtered,yes,Site,2.0
random,hvg,0.5089454168345243,0.766607617360496,11289,40,full,no,,
random,scvi,0.5083654049982133,0.7595217006200177,11289,40,full,no,,
random,harmony,0.4803958107527269,0.7537643932683791,11289,40,full,no,,
random,pca,0.45552321669559703,0.7723649247121346,11289,40,full,no,,
random_batchcov,scvi,0.5327995841606291,0.766607617360496,11289,40,full,yes,Site,2.0
random_batchcov,hvg,0.5085508633043446,0.766607617360496,11289,40,full,yes,Site,2.0
random_batchcov,pca,0.4724259104209959,0.7772364924712135,11289,40,full,yes,Site,2.0
random_batchcov,harmony,0.46070581636910046,0.7639503985828167,11289,40,full,yes,Site,2.0
